sequencing_platform	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq
DNA_extraction_kit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Klebsiella|s__Klebsiella_quasipneumoniae	0	0.08002	0.12263	0.19542	0	0	1.79545	0	0	0.12964	0.05472	0	0	0.139	0	0.31555	0.15383	0	0.34301	0	0.01081	0.0385	0.06026	0	0.04406	0	3.25759	0.0774	0.23587	0.74844	0	1.0749	0	0.51191	0.05867	0	0	0.92811	3.40905	0.00478	0.1684	0.23027	10.97328	0.04601	0.06928	0.23644	0.05188	0.11284	0.07362	0	0.01113	3.38393	2.14928	0	0.81695	0	0.16929
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonella|s__Veillonella_dispar	0	0.07236	0	0	0	0	0	0	0	0.05245	0.01722	0	0	0.01933	0	0.01925	0	0	0.03496	0.07022	0	0.00471	0	0	0.03148	0	0	0	0.01116	0	0	0.05811	0.06255	0.01395	0.06795	0.20271	0	0.08925	0	0.02978	0.01039	0.09047	0	0.0076	0	0.01036	0.00909	0.05828	0.06746	0.00666	0	0.00634	0.00832	0	0.20083	0.66284	0.07667
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Propionibacteriaceae|g__Cutibacterium|s__Cutibacterium_acnes	0	0.07077	0.25832	0	0.31545	0	0.00309	0.01728	0.08818	0.04386	0	0.13103	0.1772	0	0.03515	0	0.02847	0	0.06432	0	0.01181	0.0445	0	0	0	0	0	0	0	0.01896	0	0	0.00199	0.00539	0.00347	0	0.06944	0	0	0	0	0.06307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonella|s__Veillonella_sp_T11011_6	0	0.0612	0	0	0	0	0	0	0	0.11246	0.04813	0	0	0.02612	0	0	0	0	0.05042	0.01114	0	0.00413	0	0	0.00123	0	0	0	0	0	0	0.10309	0.05673	0	0.05468	0.17572	0.02896	0.05364	0	0.00882	0	0.09375	0	0	0	0.00335	0.01629	0.04119	0.02277	0.01864	0.00945	0.00395	0	0	0.02336	1.37013	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Klebsiella|s__Klebsiella_variicola	0	0.05831	0.09037	0.33023	0.10023	0.05067	3.44418	0	0	0.16765	0.29544	0	0	0.30226	0	0.8234	0.51665	0	0.30728	0.05248	0	0.06201	0.01105	0.01438	0.07381	0.0241	1.72204	0.02359	0.01614	0.43187	0.04307	4.08846	0	1.56083	0.0326	0	0	3.554	1.59218	0.01576	0.05693	0.34486	5.29909	0.31719	0.28853	1.31304	0.04664	0.38838	0.09535	0.00871	0.05069	6.14534	4.06032	0	0.88629	0	0.15057
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus|s__Haemophilus_sp_HMSC71H05	0	0.0577	0	0	0	0	0	0	0	0	0.10225	0.00855	0	0	0	0.01354	0	0	0.11119	0	0	0	0	0	0.01562	0	0	0.01301	0	0	0	0.0198	0.03901	0	0.11082	0.28644	0	0.02718	0	0.08116	0.01448	0.01119	0	0	0.01173	0.04253	0.0356	0.04641	0.41124	0.06502	0	0.02541	0.03452	0	0	0	0.02765
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Klebsiella|s__Klebsiella_pneumoniae	0	0.05314	0.14445	0.6276	0.03167	0.04972	10.40526	0	0	0.04209	0.16467	0	0	0.78365	0	0.87201	0.75128	0	0.80589	0	0.03374	0.19069	0.15456	0	0.23417	0.01373	5.67103	0.17168	0.30268	1.43032	0.07792	4.14051	0.02857	1.40235	0.08571	0	0	5.68265	4.50383	0.05476	0.23439	0.34995	14.5354	0.33302	0.18614	0.65958	0.14518	0.38796	0.3155	0.00769	0.04817	16.5834	4.31365	0	0.89769	0	0.62048
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_xylanisolvens	0	0.04582	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00404	0	0	0	0	0.01194	0	0.00429	0	0	0	0	0	0	0	0	0.12747	0	0	0.06519	0	0	0	0.28073	0	0	0.00741	0	0	0.01098	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Comamonas|s__Comamonas_kerstersii	0	0.04343	1.0876	0.00437	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09304	1.47208	0	0	0	0	0.94105	0.00592	0	0	0	0.01043	0	1.85427	0	0	0	0.07239	0	0	0	0.23472	0	0	0.00221	0	0.01003	0	0.00825	0	0.08869	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_callidus	0	0.04327	0	0.13399	0	0.49589	0	0	0	0.05622	0	0	0	0	0	0	0	0	0.00593	0	0	0.00603	0.00363	0	0.0162	0.00259	0	0.00191	0.00678	0.02191	0	0	0.00171	0	0.01444	0.00149	0.01799	0	0.01365	0.04375	0.11907	0	0	0.01167	0.06917	0	0.01316	0.01796	0	0.00903	0.02992	0	0.00691	0	0	0.00146	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_bicirculans	0	0.03729	0	0	0.26524	0	0	0.00655	0.01997	0.00165	0	0	0	0.03825	0	0.60324	0	0	0	0.1299	0	0.23163	0.56144	1.10548	0.02641	0.02527	0	0.27864	0	0.0183	0.032	0.17045	0.16696	0.0363	0	0	0	0.05518	0.06099	0	0.20439	0	0	0.04178	0	0.07602	0	0.05305	0	0	0	0	0	0.11605	0.08182	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_sp_CAG_274	0	0.02151	0	0	0	0.00408	0	0	0	0	0	0.01172	0	0.13016	0	0	0	0	0	0.0105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01049	0	0	0	0	0	0	0.51189	1.45514	0	0.03108	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_salivarius	0	0.01509	0	0	0	0	0.03061	0	0	0.10283	0	0.02158	0	0.1586	0	0.45601	0	0	0.22724	0.22654	0	0.02219	0.02345	0	0.00163	0.00636	0	0.04351	0.02365	0	0	0	0.39708	0	0.78928	1.3766	0	0.1168	0.01401	0.08746	0	0	0.00233	1.03525	0	0.36471	0	0.48444	0.58893	0	0.42764	0.0018	0.00241	0	0	1.55051	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus|s__Lactococcus_lactis	0	0.01293	0	0	0	0	0	0	0	0	0.03943	0	0	0	0	0.0375	0	0	0.08931	0	0	0	0.00189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.44553	0	0	0	0.56023	0	0	0	0.03092	0.05736	0	0	0	0	0.27646	0	0	0	0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonella|s__Veillonella_infantium	0	0.012	0	0	0	0	0	0	0	0.02383	0.08781	0	0	0.018	0	0.00223	0	0	0.04106	0.0083	0	0.00202	0	0	0	0	0	0	0	0	0	0.03814	0.02216	0	0.01432	0.08759	0	0.00674	0	0.0044	0.01101	0.21338	0	0.00253	0	0.00357	0.01033	0.01314	0.02257	0.03266	0.04805	0.00873	0	0	0.06633	0.2994	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_oral_taxon_897	0	0.01116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae|g__Akkermansia|s__Akkermansia_muciniphila	0	0.01033	0.04858	0	0	0	0	0	0	0	0	0	0	0	0	0	8.40693	0	0	0	0	0	0	0	0	0	0	0	1.85156	0	0	0	0	0	0	0	0.09833	0	0	0	0	0	0	0	0	0	0	0.01617	0	0	0	0	0	0	0	0	0.00716
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_hominis	0	0.00969	0.01688	0.11907	0.14659	0.20417	0	0	3.37432	0.827	0.0111	0	0	0.18985	0.44337	0.00593	0.63394	0.05701	0.55304	0.061	0.56521	0.15812	0.51844	2.73013	0.01818	0.15921	0	0.32082	0	0.09234	0.06693	0.38018	1.39244	1.08553	0.51913	0.45025	0.06451	0	0.34336	0.0165	0.05236	0.0695	0.00806	0	0.09669	0.24026	0	0.06505	0.43945	0.00557	0.18386	0.06586	0.01708	2.16417	0.00941	0.30094	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae|g__Rothia|s__Rothia_mucilaginosa	0	0.00791	0	0.00097	0	0	0	0.11381	0	0	0.29631	0	0	0	0	0	0	0	0.03219	0	0	0	0	0	0.00584	0	0	0	0	0	0	0.02812	0.01519	0	0.16309	0.04975	0	0	0	0.00186	0	0.00617	0	0	0	0	0	0.00875	0.05841	0	0.00613	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Allisonella|s__Allisonella_histaminiformans	0	0.00738	0.02067	0.05571	0.00272	0.02311	0	0	0	0.00249	0	0	0	0	0	0	0	0	0	0	0	0.01894	0.0271	0	0.02871	0	0.00443	0.00431	0	0	0	0	0.01477	0	0.00244	0	0	0	0.00607	0.00067	0	0	0	0.02785	0.01507	0	0.0069	0	0	0	0	0	0.01501	0	0.09037	0.57473	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_ovatus	0	0.0071	0	0	0.02	0	0	0	0	0	0	0	0	0.04838	0	0.01753	0	0	0	0	0.03883	0.00045	0.01002	0	0	0.00348	0	0.006	0.62335	0.1898	0	0	0	0.00909	0	0	0	0	0	0	0	0.06028	0	0	0	0.12373	0	0.00312	0.18271	0	0	0.03572	0	0	0	0	0.02822
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii	0	0.00679	0	0.00792	0.04539	0	0	0	0	0	0	0	0	0.35388	0	0.02868	0	0	0	0.01841	0	0	0.00455	0	0	0.05015	0	0.01972	0.15713	0.00293	0.00887	0.03436	0	0.42418	0	0	0	0	0.01353	0	0	0	0	0	0	0.05709	0	0	0	0	0	0	0	0	0	0.00079	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_uniformis	0	0.00634	0.1017	0.0456	0.00954	0	0	0	0	0	0.03111	0	0	0.32958	0	0.58058	0	0	0	0	1.035	0.02568	0.0511	0	0.00234	0	0.50264	0.08793	0.18282	0.03605	0	0.01488	0	0.07632	0	0.00324	0	0	0	0	0	0.15676	0	0.00293	0	0.05682	0	0	0.08943	0	0	0.05476	0.01175	0	0	0	0.38522
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_sp_A12	0	0.00619	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01004	0	0	0.02189	0	0	0.0125	0	0	0	0.00701	0	0	0	0	0	0	0.00199	0	0	0.02034	0	0	0.00061	0.00236	0.0215	0	0.00139	0	0	0	0	0.00826	0.02244	0	0.00624	0	0	0	0	0	0.06714
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_infantis	0	0.00506	0	0	0	0	0.02703	0	0	0	0.02245	0	0	0	0	0	0	0	0	0	0	0.00312	0	0	0	0	0	0	0	0	0	0	0.01587	0	0.02663	0.08324	0	0	0	0	0	0	0.0023	0.00187	0	0	0	0	0.10169	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelatoclostridium|s__Erysipelatoclostridium_ramosum	0	0.00483	0	0	0	0	0.01384	0	0	0	0	0	0.01886	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04952	0	0	0	0	0	0	0	0	0	0.02319	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_thetaiotaomicron	0	0.00288	0	0	0	0	0	0	0	0	0	0	0	0.0989	0	0.004	0	0	0	0	0.01674	0.00095	0	0	0	0	0	0	0.11385	0.00866	0	0	0	0	0	0	0	0	0.01541	0	0	0.20635	0	0	0	0.17494	0	0	0.43601	0	0	0.03107	0	0	0	0	0.00049
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonella|s__Veillonella_rogosae	0	0.00267	0	0	0	0	0	0	0	0	0.03366	0	0	0	0	0	0	0	0.01183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00341	0	0.0023	0	0.00837	0	0	0	0	0	0.00291	0.01333	0.00836	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_australis	0	0.00225	0	0	0	0	0.15497	0	0	0	0	0	0	0	0	0.00724	0	0	0.01208	0	0	0.00352	0	0	0	0	0	0	0	0	0	0	0.02928	0	0.01511	0.05203	0	0	0.00121	0	0.00208	0	0.00041	0	0	0	0	0.00272	0.06037	0.00207	0.00827	0	0	0	0	0	0.03122
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_sp_CAG_180	0	0	4.97775	0.02222	0.08995	0	0	0	0.05533	0	0	0	0	0	0.39834	0.00206	0.29308	3.77198	1.18079	0	1.21975	0.53171	0.02929	10.86782	1.15706	0	0.21712	0.04133	0.44577	0.10235	3.97496	0.02329	0.09104	0.03192	0	0	0.0966	0	0.0115	0.22186	2.59484	0	0	0	2.06603	0	0	1.16973	0.07701	0.01303	0.32208	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_sp_CAG_873	0	0	1.72069	0	0	0	0	0	0	0	0.01998	0	0.68156	0	0.65518	0	0	0	0	0.08096	0	0	0.02647	0	0.11422	3.71978	0	0.04051	0	0.10992	0.23752	0	0	0	0.19764	0	0	0	0	0	0.9627	0	0	0	1.33458	0	0	0.75235	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_intestinalis	0	0	0.4301	0	0	0	0	0	0	0	0	0	0	0	0	0.00606	0	0	0	0	0	0	0	0	0	0	0	0	0.06292	0.00247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Lentisphaerae|c__Lentisphaeria|o__Victivallales|f__Victivallaceae|g__Victivallis|s__Victivallis_vadensis	0	0	0.33032	0	0.43752	0	0	0	0.0057	0	0	0	1.09649	0	0.01876	0	0	0.06626	0	0.47806	0.06621	0.00608	0.0751	0.22335	0	0.01614	0	0.08073	8.03205	0.02893	0.00747	0.34237	0	0.05733	0.1106	0	0.10315	0	0.04568	0	0.0839	0	0.00312	0	0.09871	0	0.00864	0	0.02265	0	0	0	0	0.00113	0.34529	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruthenibacterium|s__Ruthenibacterium_lactatiformans	0	0	0.04793	0.02656	0.0287	0	0	0	0	0	0	0	0	0	0	0.03025	0	0.0014	0.00593	0.01165	0.16342	0	0.01341	0	0.01408	0	0.03492	0.01726	0.0871	0.01159	0	0	0	0.00879	0.08987	0.00135	0.04628	0	0.03828	0	0.02944	0	0	0.02262	0.01273	0.00478	0	0	0.26194	0	0	0	0	0	0.04354	0	0.75252
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_238	0	0	0.02255	0	0.02206	0	0	0	0	0	0.00921	0	0.01814	0	0.00746	0	0.2927	0.00327	0.00135	1.13127	0.0134	0	0.01308	0	0	0	0	0.01398	0.23009	0	0.02075	0.00392	0	0	0.0042	0	0	0.01046	0	0	0.00305	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0055	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_unclassified|g__Clostridiales_unclassified|s__Bacteroides_pectinophilus	0	0	0.02009	0	0	0	0	0	0.03696	0.46413	6.47655	0	0	0	0.0191	0.25108	0	0	0.12106	0	0	0	0.03179	0	0	0.08772	0	0.05	0.01517	0	0	0	0	0	0	1.1225	0.02235	0	0	0	0	0	0.02738	0	0	0	0	12.92914	0	0	0.90871	0	0	0	0	0	0
k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales|f__Synergistaceae|g__Fretibacterium|s__Fretibacterium_fastidiosum	0	0	0.00558	0.00222	0.03927	0.00857	0	0.06952	0.01077	0.00492	0	0	0.02378	0.00522	0	0	0	0	0.00875	0.00947	0	0	0.00783	0.00433	0	0	0	0.01119	0.01835	0.00174	0.01327	0.00424	0	0.00897	0	0	0.00545	0	0.00155	0	0.0031	0	0	0	0.0124	0	0	0	0.00361	0	0	0	0	0.00852	0.04316	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_sp_CAG_403	0	0	0	1.2911	0.46377	0	0	0	0	0.01729	0.0315	0	0	1.90426	0	0	0	0.17146	0	0.48048	0	0	0	0	0.01296	0.25397	0	0	0.02441	0.06802	0	0	0	0.03965	0.45699	0.00074	0	0	0.12286	0	0	0	0	0	0.00305	0	0.08883	0.12988	0	0	0	0	0.1072	0.06542	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_faecium	0	0	0	0.23411	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00599	0	0	0	0	0	0	0	0	0	0	0	0	0	2.52277
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Klebsiella|s__Klebsiella_aerogenes	0	0	0	0.146	0	0	0	0	0	0	0.07716	0	0	0	0	0.01253	0	0	0.06256	0	0	0	0	0	0	0	0.04301	0	0	0.77481	0.19284	0.22298	0	0.0921	0	0	0	0.1443	0.52812	0	0	0	1.70838	0.02641	0	0	0	0	0	0	0	0	0.05972	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_corporis	0	0	0	0.05858	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05461	0.03451	0	0	0	0	0	0	0	0	0	0	0	0.00111	0	0	0	0	0	0.00109	0	0	0.00423	0	0	0.02	0	0	0	0.07009	0.01612	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_fermentum	0	0	0	0.0427	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07592	0	0.23659	0	0	0	0.06131	0.11722	0	0.0753	0	0.63612	0	0.11221	0	0	0	0	0.00396	0	0	0	0.02063	0	0	0	0	0	0	0	0	0	0	0	0	0.01635	0.8292
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas|s__Porphyromonas_asaccharolytica	0	0	0	0.02633	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00136	0.00975	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrionaceae_unclassified|s__Desulfovibrionaceae_bacterium	0	0	0	0.02533	0.08158	0	0	0	0	0	0	0	0	0	0.03527	0	0	0	0.01257	0.13461	0.03112	0.00879	0.00831	0.06328	0.01739	0	0	0.02765	0	0	0.11581	0.21827	0	0.04699	0.01671	0	0	0	0.05045	0	0	0	0	0	0.02537	0	0	0	0	0	0	0	0	0.07569	0.05941	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_buccalis	0	0	0	0.02111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03682	0.01047	0.06764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01112	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Enterobacter|s__Enterobacter_cloacae_complex	0	0	0	0.01927	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03359	1.0208	0	0.00342	0.00288	0	0	0	1.26444	0	0	0.53891	0	0	0	0	0.0025	0	0	0	0.26231	0	0.04363	0.01796	0.85263	0.0253	0.02031	0.006	0	0.14165	0.06802	0	0.02401	0.2424	0.18015	0	0	0	0.02957
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Klebsiella|s__Klebsiella_oxytoca	0	0	0	0.00704	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00688	0	0	0	0.07719	0	0	0	0	0.0418	0	0	0	0.08903	0	0.01345	0	0	0	0	0	0	0	0.67151	0	0	0	0.00513	0	0.03703	0	0	0.05205	0.32652	0.01649	0	0.02008	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_ventriosum	0	0	0	0.00555	0	0	0	0	0	0.06029	0	0	0	0.03601	0	0	0	0	0.006	0	0.05341	0.01334	0.01133	0	0.01529	0.02145	0	0.01153	0.02091	0.03266	0	0	0.04223	0	0	0	0.00792	0.02928	0	0	0	0	0	0	0	0	0	0	0.00573	0.00375	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae|g__Butyricimonas|s__Butyricimonas_virosa	0	0	0	0.00516	0.03875	0	0	0	0	0	0	0	0	0.00146	0	0	0	0	0	0	0	0	0.01437	0	0	0.01927	0	0.02402	0.26557	0.07582	0.04565	0	0.00365	0	0	0	0.02086	0	0	0	0	0	0	0	0	0	0	0.00433	0.00983	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_caccae	0	0	0	0.00323	0	0	0	0	0	0	0	0	0	1.18666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.13996	0.01065	0	0	0	0	0	0	0	0	0	0	0	0.00446	0	0	0	0	0	0	0.04575	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_galacturonicus	0	0	0	0.00207	0	0	0	0	0	0	0	0	0	0	0	0.01266	0	0	0	0	0	0	0	0	0.02351	0	0	0	0	0.63757	0	0	0	0	0.00833	0	0	0	0.01033	0	0	0	0	0.00329	0	0.52202	0	0.00448	0.00316	0	0	0	0	0	0	0.00286	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_obeum_CAG_39	0	0	0	0	3.23085	0	0	0	0	0	0	0.00295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.34069	0	5.67477	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00297	0	0.00184	0	0.01913	0	0.00248	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_dorei	0	0	0	0	1.36304	0	0	0	0	0	0	0	0	0.72716	0	0	0	0	0	0	0.83853	0	0	0	0	0	0	0	0	0.00408	0	0.0057	0	0.32881	0	0	0	0	0	0	0	0.00064	0	0	0	0	0	0	0.03965	0	0	0.09836	0	0	0	0	0
