	SID010101	SID010102	SID010104	SID010201	SID010202	SID010204	SID010301	SID010302	SID010304	SID010401	SID010402	SID010404	SID01A_000	SID01A_006	SID01A_220	SID01B_000	SID01B_007	SID01B_221	SID01C_235	SID01C_566	SID01D_013	SID01D_190	SID01D_570	SID01E_000	SID01E_015	SID01E_191	SID01F_239	SID01F_573	SID01G_000	SID01G_005	SID01G_234	SID01H_011	SID01H_202	SID01H_568	SID01I_012	SID01I_569	SID01J_010	SID01J_173	SID020101	SID020102	SID020104	SID020201	SID020202	SID020204	SID020301	SID020302	SID020304	SID02A_561	SID02B_552	SID02C_553	SID030101	SID030102	SID030104	SID030201	SID030202	SID030204	SID030301	SID030502	SID030504	SID030601	SID030602	SID030604	SID030701	SID030702	SID030704	SID03A_000	SID03B_000	SID03C_000	SID03D_000	SID03E_000	SID03F_000	SID03G_000	SID040101	SID040104	SID040201	SID040202	SID040203	SID040204	SID040301	SID040303	SID040304	SID04B_564	SID04C_565	SID04D_562	SID04E_563	SID05A_000	SID05B_000	SID05C_000	SID05D_000	SID060101	SID060102	SID060201	SID060202	SID060301	SID060302	SID060401	SID060402	SID060502	SID060601	SID060602	SID07A_558	SID07C_541	SID07D_542	SID07E_559	SID080101	SID080102	SID080104	SID080301	SID080302	SID080304	SID08A_000	SID08A_022	SID08A_236	SID08B_044	SID08C_021	SID08D_079	SID08D_257	SID08D_572	SID08E_000	SID08E_041	SID08E_160	SID08F_000	SID08F_040	SID08G_000	SID08G_023	SID08H_000	SID08H_008	SID08I_009	SID08I_170	SID08I_545	SID08J_078	SID08K_032	SID08K_237	SID08K_560	SID090101	SID090102	SID090201	SID09A_515	SID09B_516	SID09C_517	SID09D_518	SID09E_519	SID100201	SID100202	SID100204	SID100301	SID100302	SID100304	SID100401	SID100402	SID100404	SID140101	SID140102	SID140104	SID140201	SID140202	SID140301	SID140302	SID140304	SID190101	SID190104	SID210101	SID210102	SID210104	SID210201	SID210204	SID210301	SID210302	SID210304	SID210401	SID210402	SID210404	SID240101	SID240102	SID240104	SID240201	SID240202	SID240301	SID240302	SID240304	SID240401	SID240402	SID250101	SID250102	SID250104	SID250301	SID250501	SID250502	SID250701	SID250702	SID250704
non_westernized	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes
sequencing_platform	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaNextSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaNextSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq
PMID	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044	27172044
number_reads	9135316	10865609	8641734	8263765	13483985	4584373	10554738	9474946	7447988	15378512	5742164	8200022	6998580	9283197	1949860	11532512	3851417	2056260	6040113	16559474	5585681	8099568	11710708	10580246	4627770	7659013	8853260	12989973	24609819	3528048	13575294	12719015	12945817	16143176	1474806	14933904	31303078	16765890	11148772	12141537	7054974	9964706	8864070	10463413	10197116	11580047	8896928	3414323	11027973	17648845	8963160	16978264	6073397	8167934	7750685	8514897	4234122	10522537	8348431	13555923	8530735	3587337	3718425	8998600	5463708	10115438	12616895	10264850	9555255	4389689	7556141	10565226	9101353	3542326	6834011	1880439	11617073	5606602	3274119	24407709	3419734	8956432	4556092	9053583	12340625	9402510	3546269	7547697	6379130	6100406	7311407	8461101	8278063	3680636	13406853	5961360	11168463	4703871	6360828	8631383	11091375	9905057	4213178	9476573	10435312	4487645	9586013	10887228	8224426	7078535	7618204	17007613	12054641	7476471	3637657	3131749	16495370	6128663	5626036	7131870	26118681	7889021	1631450	4231788	1444194	3421004	11077697	12871047	24825531	6311282	4925559	5942985	9405039	6665498	3500548	5534001	9467255	13284850	15081788	7674568	4950702	6077614	7681582	5138536	7409352	13365374	4164526	7656207	10973004	9497077	14489885	9441007	8944481	6002316	6129429	7937377	9141306	9155055	4005061	16049407	10489144	13761936	13802384	12951686	8720309	8841421	15732297	8590296	12842964	22315698	13955304	8233549	13864100	9628782	15293783	18903532	6942627	7344580	5536044	9879312	4042195	16337193	16573269	8549112	11729348	8662051	15116519	17667032	7397970	5096527	11744838
number_bases	1266229408	1505331601	1194769718	1145167092	1864161359	633743689	1468745529	1315314651	1031315206	2138962501	796139197	1133014048	979592446	1274253756	276845040	1618405854	511860607	291964649	823136178	2321973326	775915977	1118724455	1640567131	1481827250	633270752	1049662628	1221966455	1817233988	3442979471	487615777	1858954287	1746692507	1767776794	2260904293	186573842	2093148654	4330566979	2275078243	1522498777	1681169552	978308765	1379750893	1225734791	1447453812	1417676639	1602175100	1231118170	478107359	1545410000	2468597940	1225515355	2361341038	841811506	1125355712	1073967809	1182220444	582475102	1435490528	1163036285	1871557526	1186204909	498097893	510527910	1246163439	760659588	1417651330	1769957514	1440166465	1339447745	614708070	1057872194	1478494877	1242085878	459477321	947904218	258234432	1591142936	774588291	451122693	3351552621	463148637	1253737861	636677311	1269427019	1727565807	1316377268	496799469	1053877653	891950111	836036623	935377016	1175037294	1146942273	510328463	1806893819	819485938	1527791587	646413526	883893278	1193931471	1551902700	1384860242	588931349	1322796118	1451439686	621571786	1326930236	1497539604	1143713485	985725118	1067217566	2332481816	1661775885	1026459250	474301017	416674154	2254328144	856779878	788140933	981625898	3579255956	1103743984	226397672	592352048	197828156	478094216	1513173136	1775374322	3400160029	882616821	678569796	814775232	1299417991	932232007	485010555	766299024	1319597678	1860749383	2109919922	1073516860	691821399	849700012	1067765794	710947332	1029107788	1860151579	578050034	1064015594	1548886811	1338190554	2044630718	1327407027	1258442861	845982176	863659892	1116257591	1287342767	1283033533	564946370	2264308654	1479667197	1939596231	1947218912	1820843240	1226847600	1246061607	2216895270	1210038298	1806999928	3131330889	1957951809	1160656441	1957387374	1358127976	2158500876	2664582594	978858587	1036048500	780919576	1392304309	568609806	2303002439	2336464429	1205186882	1651074711	1221516862	2133942796	2492642265	1041709181	718962017	1656428136
minimum_read_length	36	36	36	36	36	36	36	36	36	36	36	36	36	36	74	36	36	40	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36
median_read_length	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142
NCBI_accession	SRR2938411;SRR2938133	SRR2938412;SRR2938134	SRR2938413;SRR2938135	SRR2938414;SRR2938136	SRR2938415;SRR2938137	SRR2938416;SRR2938138	SRR2938417;SRR2938139	SRR2938418;SRR2938140	SRR2938419;SRR2938141	SRR2938420;SRR2938142	SRR2938421;SRR2938143	SRR2938422;SRR2938144	SRR2938506;SRR2938221	SRR2938350;SRR2938072	SRR2938594;SRR2938309	SRR2938507;SRR2938222	SRR2938351;SRR2938073	SRR2938595;SRR2938310	SRR2938391;SRR2938113	SRR2938528;SRR2938243	SRR2938352;SRR2938074	SRR2938392;SRR2938114	SRR2938529;SRR2938244	SRR2938508;SRR2938223	SRR2938353;SRR2938075	SRR2938393;SRR2938115	SRR2938394;SRR2938116	SRR2938530;SRR2938245	SRR2938509;SRR2938224	SRR2938354;SRR2938076	SRR2938395;SRR2938117	SRR2938355;SRR2938077	SRR2938396;SRR2938118	SRR2938531;SRR2938246	SRR2938356;SRR2938078	SRR2938532;SRR2938247	SRR2938357;SRR2938079	SRR2938397;SRR2938119	SRR2938423;SRR2938145	SRR2938424;SRR2938146	SRR2938425;SRR2938147	SRR2938426;SRR2938148	SRR2938427;SRR2938149	SRR2938428;SRR2938150	SRR2938429;SRR2938151	SRR2938430;SRR2938152	SRR2938431;SRR2938153	SRR2938533;SRR2938248	SRR2938534;SRR2938249	SRR2938535;SRR2938250	SRR2938360;SRR2938082	SRR2938432;SRR2938154	SRR2938433;SRR2938155	SRR2938361;SRR2938083	SRR2938434;SRR2938156	SRR2938435;SRR2938157	SRR2938362;SRR2938084	SRR2938363;SRR2938085	SRR2938436;SRR2938158	SRR2938364;SRR2938086	SRR2938437;SRR2938159	SRR2938438;SRR2938160	SRR2938365;SRR2938087	SRR2938439;SRR2938161	SRR2938440;SRR2938162	SRR2938510;SRR2938225	SRR2938511;SRR2938226	SRR2938512;SRR2938227	SRR2938513;SRR2938228	SRR2938514;SRR2938229	SRR2938515;SRR2938230	SRR2938516;SRR2938231	SRR2938366;SRR2938088	SRR2938347;SRR2938069	SRR2938367;SRR2938089	SRR2938368;SRR2938090	SRR2938369;SRR2938091	SRR2938348;SRR2938070	SRR2938370;SRR2938092	SRR2938371;SRR2938093	SRR2938349;SRR2938071	SRR2938536;SRR2938251	SRR2938537;SRR2938252	SRR2938538;SRR2938253	SRR2938539;SRR2938254	SRR2938518;SRR2938233	SRR2938519;SRR2938234	SRR2938520;SRR2938235	SRR2938521;SRR2938236	SRR2938372;SRR2938094	SRR2938373;SRR2938095	SRR2938441;SRR2938163	SRR2938337;SRR2938059	SRR2938442;SRR2938164	SRR2938374;SRR2938096	SRR2938375;SRR2938097	SRR2938376;SRR2938098	SRR2938338;SRR2938060	SRR2938443;SRR2938165	SRR2938377;SRR2938099	SRR2938540;SRR2938255	SRR2938541;SRR2938256	SRR2938542;SRR2938257	SRR2938543;SRR2938258	SRR2938444;SRR2938166	SRR2938445;SRR2938167	SRR2938446;SRR2938168	SRR2938447;SRR2938169	SRR2938448;SRR2938170	SRR2938449;SRR2938171	SRR2938523;SRR2938238	SRR2938378;SRR2938100	SRR2938398;SRR2938120	SRR2938379;SRR2938101	SRR2938380;SRR2938102	SRR2938381;SRR2938103	SRR2938399;SRR2938121	SRR2938544;SRR2938259	SRR2938524;SRR2938239	SRR2938382;SRR2938104	SRR2938400;SRR2938122	SRR2938525;SRR2938240	SRR2938383;SRR2938105	SRR2938526;SRR2938241	SRR2938384;SRR2938106	SRR2938527;SRR2938242	SRR2938385;SRR2938107	SRR2938386;SRR2938108	SRR2938401;SRR2938123	SRR2938545;SRR2938260	SRR2938387;SRR2938109	SRR2938388;SRR2938110	SRR2938402;SRR2938124	SRR2938546;SRR2938261	SRR2938450;SRR2938172	SRR2938451;SRR2938173	SRR2938452;SRR2938174	SRR2938547;SRR2938262	SRR2938548;SRR2938263	SRR2938549;SRR2938264	SRR2938550;SRR2938265	SRR2938551;SRR2938266	SRR2938453;SRR2938175	SRR2938454;SRR2938176	SRR2938455;SRR2938177	SRR2938456;SRR2938178	SRR2938457;SRR2938179	SRR2938458;SRR2938180	SRR2938459;SRR2938181	SRR2938460;SRR2938182	SRR2938461;SRR2938183	SRR2938462;SRR2938184	SRR2938463;SRR2938185	SRR2938464;SRR2938186	SRR2938465;SRR2938187	SRR2938466;SRR2938188	SRR2938467;SRR2938189	SRR2938468;SRR2938190	SRR2938469;SRR2938191	SRR2938470;SRR2938192	SRR2938471;SRR2938193	SRR2938472;SRR2938194	SRR2938473;SRR2938195	SRR2938474;SRR2938196	SRR2938475;SRR2937619	SRR2938483;SRR2938198	SRR2938476;SRR2937620	SRR2938477;SRR2937621	SRR2938478;SRR2937622	SRR2938479;SRR2937623	SRR2938480;SRR2937624	SRR2938481;SRR2937625	SRR2938482;SRR2938197	SRR2938484;SRR2938199	SRR2938485;SRR2938200	SRR2938486;SRR2938201	SRR2938487;SRR2938202	SRR2938488;SRR2938203	SRR2938489;SRR2938204	SRR2938490;SRR2938205	SRR2938491;SRR2938206	SRR2938492;SRR2938207	SRR2938493;SRR2938208	SRR2938494;SRR2938209	SRR2938495;SRR2938210	SRR2938496;SRR2938211	SRR2938497;SRR2938212	SRR2938498;SRR2938213	SRR2938499;SRR2938214	SRR2938500;SRR2938215	SRR2938501;SRR2938216
curator	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato	Giacomo_DAmato
days_from_first_collection	0	7	372	0	7	372	0	7	372	0	7	372	0	117	208	0	117	208	0	161	0	74	257	0	117	193	0	159	0	126	211	0	82	256	0	255	0	71	0	7	372	0	7	372	0	7	372	NA	NA	NA	0	7	372	0	7	372	NA	0	365	0	7	372	0	7	372	NA	NA	NA	NA	NA	NA	NA	0	372	0	7	21	372	0	21	372	NA	NA	NA	NA	NA	NA	NA	NA	0	7	0	7	0	7	0	7	NA	0	7	NA	NA	NA	NA	0	7	372	0	7	372	0	120	213	NA	NA	0	82	238	0	128	174	0	127	0	120	0	118	0	68	249	NA	0	90	247	0	7	NA	NA	NA	NA	NA	NA	0	7	372	0	7	372	0	7	372	0	7	372	0	7	0	7	372	0	372	0	7	372	0	372	0	7	372	0	7	372	0	7	372	0	7	0	7	372	0	7	0	7	372	NA	0	7	0	7	372
location	rural_village	rural_village	rural_village	rural_village	rural_village	rural_village	rural_village	rural_village	rural_village	rural_village	rural_village	rural_village	Lima_periurban_shantytown	Lima_periurban_shantytown	Lima_periurban_shantytown	Lima_periurban_shantytown	Lima_periurban_shantytown	Lima_periurban_shantytown	Lima_periurban_shantytown	Lima_periurban_shantytown	Lima_periurban_shantytown	Lima_periurban_shantytown	Lima_periurban_shantytown	Lima_periurban_shantytown	Lima_periurban_shantytown	Lima_periurban_shantytown	Lima_periurban_shantytown	Lima_periurban_shantytown	Lima_periurban_shantytown	Lima_periurban_shantytown	Lima_periurban_shantytown	Lima_periurban_shantytown	Lima_periurban_shantytown	Lima_periurban_shantytown	Lima_periurban_shantytown	Lima_periurban_shantytown	Lima_periurban_shantytown	Lima_periurban_shantytown	rural_village	rural_village	rural_village	rural_village	rural_village	rural_village	rural_village	rural_village	rural_village	Lima_periurban_shantytown	Lima_periurban_shantytown	Lima_periurban_shantytown	rural_village	rural_village	rural_village	rural_village	rural_village	rural_village	rural_village	rural_village	rural_village	rural_village	rural_village	rural_village	rural_village	rural_village	rural_village	Lima_periurban_shantytown	Lima_periurban_shantytown	Lima_periurban_shantytown	Lima_periurban_shantytown	Lima_periurban_shantytown	Lima_periurban_shantytown	Lima_periurban_shantytown	rural_village	rural_village	rural_village	rural_village	rural_village	rural_village	rural_village	rural_village	rural_village	Lima_periurban_shantytown	Lima_periurban_shantytown	Lima_periurban_shantytown	Lima_periurban_shantytown	Lima_periurban_shantytown	Lima_periurban_shantytown	Lima_periurban_shantytown	Lima_periurban_shantytown	rural_village	rural_village	rural_village	rural_village	rural_village	rural_village	rural_village	rural_village	rural_village	rural_village	rural_village	Lima_periurban_shantytown	Lima_periurban_shantytown	Lima_periurban_shantytown	Lima_periurban_shantytown	rural_village	rural_village	rural_village	rural_village	rural_village	rural_village	Lima_periurban_shantytown	Lima_periurban_shantytown	Lima_periurban_shantytown	Lima_periurban_shantytown	Lima_periurban_shantytown	Lima_periurban_shantytown	Lima_periurban_shantytown	Lima_periurban_shantytown	Lima_periurban_shantytown	Lima_periurban_shantytown	Lima_periurban_shantytown	Lima_periurban_shantytown	Lima_periurban_shantytown	Lima_periurban_shantytown	Lima_periurban_shantytown	Lima_periurban_shantytown	Lima_periurban_shantytown	Lima_periurban_shantytown	Lima_periurban_shantytown	Lima_periurban_shantytown	Lima_periurban_shantytown	Lima_periurban_shantytown	Lima_periurban_shantytown	Lima_periurban_shantytown	rural_village	rural_village	rural_village	Lima_periurban_shantytown	Lima_periurban_shantytown	Lima_periurban_shantytown	Lima_periurban_shantytown	Lima_periurban_shantytown	rural_village	rural_village	rural_village	rural_village	rural_village	rural_village	rural_village	rural_village	rural_village	rural_village	rural_village	rural_village	rural_village	rural_village	rural_village	rural_village	rural_village	rural_village	rural_village	rural_village	rural_village	rural_village	rural_village	rural_village	rural_village	rural_village	rural_village	rural_village	rural_village	rural_village	rural_village	rural_village	rural_village	rural_village	rural_village	rural_village	rural_village	rural_village	rural_village	rural_village	rural_village	rural_village	rural_village	rural_village	rural_village	rural_village	rural_village	rural_village	rural_village
